Old Index,Gene,Entrez ID,Image Series URL,Used in analysis?,ID
0,0610007P14Rik,58520,0610007P14Rik/70927828.html,1,70927828
1,0610010D24Rik,68339,0610010D24Rik/74363346.html,1,74363346
2,0610010O12Rik,66060,0610010O12Rik/75079788.html,1,75079788
3,0610011I04Rik,66058,0610011I04Rik/75650863.html,1,75650863
5,0610042C05Rik,66084,0610042C05Rik/77371805.html,1,77371805
6,0710005M24Rik,76897,0710005M24Rik/72129250.html,1,72129250
7,1110002B05Rik,104725,1110002B05Rik/72081396.html,1,72081396
8,1110007C09Rik,68480,1110007C09Rik/74357561.html,1,74357561
9,1110008P14Rik,73737,1110008P14Rik/71015816.html,1,71015816
10,1110019N10Rik,68523,1110019N10Rik/74819685.html,1,74819685
11,1110031B06Rik,67826,1110031B06Rik/3.html,1,3
12,1110036O03Rik,66180,1110036O03Rik/2547.html,1,2547
13,1110038O08Rik,269642,1110038O08Rik/74958656.html,1,74958656
14,1110049B09Rik,68764,1110049B09Rik/74272042.html,1,74272042
15,1190002N15Rik,68861,1190002N15Rik/77332088.html,1,77332088
16,1190003M12Rik,68888,1190003M12Rik/74957933.html,1,74957933
18,1200016E24Rik,319202,1200016E24Rik/1591.html,1,1591
19,1500032D16Rik,78330,1500032D16Rik/12.html,1,12
20,1500032L24Rik,69029,1500032L24Rik/75651168.html,1,75651168
21,1600015H20Rik,70370,1600015H20Rik/73929875.html,1,73929875
22,1600021P15Rik,239796,1600021P15Rik/71924290.html,1,71924290
23,1700001E04Rik,75438,1700001E04Rik/73929885.html,1,73929885
24,1700010C24Rik,70363,1700010C24Rik/74581399.html,1,74581399
25,1700019N12Rik,67077,1700019N12Rik/75233110.html,1,75233110
26,1700020C11Rik,67900,1700020C11Rik/75774673.html,1,75774673
27,1700037H04Rik,67326,1700037H04Rik/324211.html,1,324211
28,1700054N08Rik,73420,1700054N08Rik/70743908.html,1,70743908
30,1810009M01Rik,65963,1810009M01Rik/77866852.html,1,77866852
31,1810015C04Rik,66270,1810015C04Rik/70634224.html,1,70634224
32,1810021J13Rik,66279,1810021J13Rik/1960.html,1,1960
33,1810023C24Rik*,0,1810023C24Rik*/77340486.html,1,77340486
34,1810031K17Rik,69171,1810031K17Rik/227165.html,1,227165
35,1810041L15Rik,72301,1810041L15Rik/72340125.html,1,72340125
36,1810057P16Rik,67622,1810057P16Rik/77332080.html,1,77332080
37,1810073G14Rik,67726,1810073G14Rik/79583813.html,1,79583813
38,2010004A03Rik,76527,2010004A03Rik/72007750.html,1,72007750
39,2010106G01Rik,66552,2010106G01Rik/1647.html,1,1647
40,2010300C02Rik,72097,2010300C02Rik/70743898.html,1,70743898
41,2010309E21Rik,66488,2010309E21Rik/1964.html,1,1964
42,2210010A19Rik,94184,2210010A19Rik/77869146.html,1,77869146
